name,instagram,twitter,image_url
Arizona Diamondbacks,https://www.instagram.com/dbacks/?hl=en,https://x.com/Dbacks,https://pbs.twimg.com/profile_images/1847378539601084416/E5UtHrTH_400x400.jpg
Oakland Athletics,https://www.instagram.com/athletics/?hl=en,https://x.com/Athletics,https://pbs.twimg.com/profile_images/1907197410054668289/1aH5uyAX_400x400.jpg
Atlanta Braves,https://www.instagram.com/braves/?hl=en,https://x.com/Braves,https://pbs.twimg.com/profile_images/1777738653051052033/A7bUnJM0_400x400.jpg
Baltimore Orioles,https://www.instagram.com/orioles/?hl=en,https://x.com/Orioles,https://pbs.twimg.com/profile_images/1876736424269012992/0HzIjDJ2_400x400.jpg
Boston Red Sox,https://www.instagram.com/redsox/?hl=en,https://x.com/RedSox,https://pbs.twimg.com/profile_images/1847283491983048704/3T_Z4z-F_400x400.jpg
Chicago Cubs,https://www.instagram.com/cubs/?hl=en,https://x.com/Cubs,https://pbs.twimg.com/profile_images/1905120707845201920/c00Kv-Zv_400x400.jpg
Chicago White Sox,https://www.instagram.com/whitesox/?hl=en,https://x.com/whitesox,https://pbs.twimg.com/profile_images/1904357635438075904/2CoTd4wA_400x400.jpg
Cincinnati Reds,https://www.instagram.com/reds/?hl=en,https://x.com/Reds,https://pbs.twimg.com/profile_images/1847240840378306563/7340JTm6_400x400.jpg
Cleveland Guardians,https://www.instagram.com/cleguardians/?hl=en,https://x.com/CleGuardians,https://pbs.twimg.com/profile_images/1904210424104660992/FCIT1skB_400x400.jpg
Colorado Rockies,https://www.instagram.com/rockies/?hl=en,https://x.com/Rockies,https://pbs.twimg.com/profile_images/1905332479214354432/0Cz8tBYt_400x400.jpg
Detroit Tigers,https://www.instagram.com/tigers/?hl=en,https://x.com/tigers,https://pbs.twimg.com/profile_images/1888971405703733249/Ee5IEGdw_400x400.jpg
Houston Astros,https://www.instagram.com/astros/?hl=en,https://x.com/astros,https://pbs.twimg.com/profile_images/1907049346132037632/fXOcl2g__400x400.jpg
Kansas City Royals,https://www.instagram.com/kcroyals/?hl=en,https://x.com/Royals,https://pbs.twimg.com/profile_images/1904175569522266112/KHrgXZO8_400x400.jpg
Los Angeles Angels,https://www.instagram.com/angels/?hl=en,https://x.com/Angels,https://pbs.twimg.com/profile_images/1905253083073908736/CYgSbGCv_400x400.png
Los Angeles Dodgers,https://www.instagram.com/dodgers/?hl=en,https://x.com/Dodgers,https://pbs.twimg.com/profile_images/1906095677492621312/gh4zEsL0_400x400.jpg
Miami Marlins,https://www.instagram.com/marlins/?hl=en,https://x.com/Marlins,https://pbs.twimg.com/profile_images/1847341709182541824/3vediEeH_400x400.jpg
Milwaukee Brewers,https://www.instagram.com/brewers/?hl=en,https://x.com/Brewers,https://pbs.twimg.com/profile_images/1904542128941707264/0f_4cBvT_400x400.jpg
Minnesota Twins,https://www.instagram.com/twins/?hl=en,https://x.com/Twins,https://pbs.twimg.com/profile_images/1904614624923701248/_SoHzvV0_400x400.jpg
New York Mets,https://www.instagram.com/mets/?hl=en,https://x.com/Mets,https://pbs.twimg.com/profile_images/1848714697215823872/9f2m_Upu_400x400.jpg
New York Yankees,https://www.instagram.com/yankees/?hl=en,https://x.com/Yankees,https://pbs.twimg.com/profile_images/1853415774305579008/G6w4o3gX_400x400.jpg
Philadelphia Phillies,https://www.instagram.com/phillies/?hl=en,https://x.com/Phillies,https://pbs.twimg.com/profile_images/1904507926632427521/o8dEzNQ2_400x400.jpg
Pittsburg Pirates,https://www.instagram.com/pittsburghpirates/?hl=en,https://x.com/Pirates,https://pbs.twimg.com/profile_images/1691093908904636416/h_qXQzTq_400x400.jpg
San Diego Padres,https://www.instagram.com/padres/?hl=en,https://x.com/Padres,https://pbs.twimg.com/profile_images/1906021140985970688/B72JCSY6_400x400.jpg
San Francisco Giants,https://www.instagram.com/sfgiants/?hl=en,https://x.com/SFGiants,https://pbs.twimg.com/profile_images/1904832767692881920/Fj5y_bzd_400x400.jpg
Seattle Mariners,https://www.instagram.com/mariners/?hl=en,https://x.com/Mariners,https://pbs.twimg.com/profile_images/1905880985440587776/zKZmw9mZ_400x400.jpg
St. Louis Cardinals,https://www.instagram.com/cardinals/?hl=en,https://x.com/Cardinals,https://pbs.twimg.com/profile_images/1905060978900828160/_vJD3Odp_400x400.jpg
Tampa Bay Rays,https://www.instagram.com/raysbaseball/?hl=en,https://x.com/RaysBaseball,https://pbs.twimg.com/profile_images/1906194760533979136/fyxB-rQQ_400x400.jpg
Texas Rangers,https://www.instagram.com/rangers/?hl=en,https://x.com/Rangers,https://pbs.twimg.com/profile_images/1906011297113677824/0YUmwxFf_400x400.jpg
Toronto Blue Jays,https://www.instagram.com/bluejays/?hl=en,https://x.com/BlueJays,https://pbs.twimg.com/profile_images/1583315435340140544/P58fGSWE_400x400.jpg
Washington Nationals,https://www.instagram.com/nationals/?hl=en,https://x.com/Nationals,https://pbs.twimg.com/profile_images/1906705110220034048/pJ60WjlI_400x400.jpg
