name,instagram,twitter,image_url
Boston Celtics,https://www.instagram.com/celtics/?hl=en,https://x.com/celtics,https://pbs.twimg.com/profile_images/1863229315451625472/31R4LiSY_400x400.jpg
Brooklyn Nets,https://www.instagram.com/brooklynnets/?hl=en,https://x.com/BrooklynNets,https://pbs.twimg.com/profile_images/1883884901671264256/612Sec1A_400x400.jpg
New York Knicks,https://www.instagram.com/nyknicks/?hl=en,https://x.com/nyknicks,https://pbs.twimg.com/profile_images/1658870821010407426/oct0ADoq_400x400.jpg
Philadelphia 76ers,https://www.instagram.com/sixers/?hl=en,https://x.com/sixers,https://pbs.twimg.com/profile_images/1675023663156920320/f_nXmSbj_400x400.jpg
Toronto Raptors,https://www.instagram.com/raptors/?hl=en,https://x.com/Raptors,https://pbs.twimg.com/profile_images/1887521603484876800/TLQ_yh37_400x400.jpg
Chicago Bulls,https://www.instagram.com/chicagobulls/?hl=en,https://x.com/chicagobulls,https://pbs.twimg.com/profile_images/1876308261391007744/E8NMVu61_400x400.jpg
Cleveland Cavaliers,https://www.instagram.com/cavs/?hl=en,https://x.com/cavs,https://pbs.twimg.com/profile_images/1906350216736858113/lOVUsR8b_400x400.jpg
Detroit Pistons,https://www.instagram.com/detroitpistons/?hl=en,https://x.com/DetroitPistons,https://pbs.twimg.com/profile_images/1903928339859156992/SeZD_XH3_400x400.png
Indiana Pacers,https://www.instagram.com/pacers/?hl=en,https://x.com/Pacers,https://pbs.twimg.com/profile_images/1841116576126263298/fdZXHM6u_400x400.jpg
Milwaukee Bucks,https://www.instagram.com/bucks/?hl=en,https://x.com/Bucks,https://pbs.twimg.com/profile_images/1901472624812957696/LN2Eag3-_400x400.jpg
Atlanta Hawks,https://www.instagram.com/atlhawks/?hl=en,https://x.com/ATLHawks,https://pbs.twimg.com/profile_images/1904293336745172993/I9yLSQaQ_400x400.jpg
Charlotte Hornets,https://www.instagram.com/hornets/?hl=en,https://x.com/hornets,https://pbs.twimg.com/profile_images/1842580648218824704/bY7qBtEJ_400x400.jpg
Miami Heat,https://www.instagram.com/miamiheat/,https://x.com/MiamiHEAT,https://pbs.twimg.com/profile_images/1879906229377519617/7WeQs1_p_400x400.jpg
Orlando Magic,https://www.instagram.com/orlandomagic/?hl=en,https://x.com/OrlandoMagic,https://pbs.twimg.com/profile_images/1907089029754941440/1vQ3Lvun_400x400.jpg
Washington Wizards,https://www.instagram.com/washwizards/?hl=en,https://x.com/WashWizards,https://pbs.twimg.com/profile_images/1644517778768920576/RF7dm0ck_400x400.jpg
Denver Nuggets,https://www.instagram.com/nuggets/?hl=en,https://x.com/nuggets,https://pbs.twimg.com/profile_images/1905266636632035328/EUdwRWRy_400x400.jpg
Minnesota Timberwolves,https://www.instagram.com/timberwolves/?hl=en,https://x.com/Timberwolves,https://pbs.twimg.com/profile_images/1887575867359895552/LK6eCex1_400x400.jpg
Oklahoma City Thunder,https://www.instagram.com/okcthunder/?hl=en,https://x.com/okcthunder,https://pbs.twimg.com/profile_images/1881355361426264064/CBNNTzS8_400x400.jpg
Portland Trail Blazers,https://www.instagram.com/trailblazers/?hl=en,https://x.com/trailblazers,https://pbs.twimg.com/profile_images/1903348091979436032/IQQ3wEIh_400x400.jpg
Utah Jazz,https://www.instagram.com/utahjazz/?hl=en,https://x.com/utahjazz,https://pbs.twimg.com/profile_images/1798375267691552768/6Rzc7y74_400x400.jpg
Golden State Warrirors,https://www.instagram.com/warriors/?hl=en,https://x.com/warriors,https://pbs.twimg.com/profile_images/1881754158187077633/l8VsO6rd_400x400.jpg
Phoenix Suns,https://www.instagram.com/suns/?hl=en,https://x.com/Suns,https://pbs.twimg.com/profile_images/1716499610599063553/GeHaKq37_400x400.jpg
Sacramento Kings,https://www.instagram.com/sacramentokings/,https://x.com/SacramentoKings,https://pbs.twimg.com/profile_images/1826317545168924672/Lk0y7bF0_400x400.jpg
Dallas Mavericks,https://www.instagram.com/dallasmavs/?hl=en,https://x.com/dallasmavs,https://pbs.twimg.com/profile_images/1778490210797694976/k7Ef_Peh_400x400.jpg
Houston Rockets,https://www.instagram.com/houstonrockets/?hl=en,https://x.com/HoustonRockets,https://pbs.twimg.com/profile_images/1904201589805494272/bKduvsgz_400x400.jpg
Memphis Grizzlies,https://www.instagram.com/memgrizz/?hl=en,https://x.com/memgrizz,https://pbs.twimg.com/profile_images/1907051127624908800/9f2j8yll_400x400.jpg
New Orleans Pelicans,https://www.instagram.com/pelicansnba/?hl=en,https://x.com/PelicansNBA,https://pbs.twimg.com/profile_images/1889360212655513601/LdRBCeUn_400x400.png
San Antonio Spurs,https://www.instagram.com/spurs/?hl=en,https://x.com/spurs,https://pbs.twimg.com/profile_images/1788584199613452288/fXZpEUBg_400x400.jpg
