name,instagram,twitter,image_url
Buffalo Bills,https://www.instagram.com/buffalobills/?hl=en,https://x.com/BuffaloBills,https://pbs.twimg.com/profile_images/1878566455999963137/WWVnpWon_400x400.jpg
Miami Dolphins,https://www.instagram.com/miamidolphins/?hl=en,https://x.com/MiamiDolphins,https://pbs.twimg.com/profile_images/1863976191318745088/yw5m3jjE_400x400.jpg
New England Patriots,https://www.instagram.com/patriots/?hl=en,https://x.com/Patriots,https://pbs.twimg.com/profile_images/1863970013230555136/PZEyfeQL_400x400.jpg
New York Jets,https://www.instagram.com/nyjets/?hl=en,https://x.com/nyjets,https://pbs.twimg.com/profile_images/1882791049665372160/ArT1-aXR_400x400.jpg
Dallas Cowboys,https://www.instagram.com/dallascowboys/?hl=en,https://x.com/dallascowboys,https://pbs.twimg.com/profile_images/1788607682355630082/ERtGmyFA_400x400.jpg
New York Giants,https://www.instagram.com/nygiants/?hl=en,https://x.com/Giants,https://pbs.twimg.com/profile_images/1876360074517487616/aA340NuC_400x400.jpg
Philadelphia Eagles,https://www.instagram.com/philadelphiaeagles/?hl=en,https://x.com/Eagles,https://pbs.twimg.com/profile_images/1894097423514910720/4gboUQ_J_400x400.jpg
Washington Commanders,https://www.instagram.com/commanders/?hl=en,https://x.com/Commanders,https://pbs.twimg.com/profile_images/1807745195548798976/idoLV9Oq_400x400.jpg
Baltimore Ravens,https://www.instagram.com/ravens/?hl=en,https://x.com/Ravens,https://pbs.twimg.com/profile_images/1855987971276615680/tXSqzfSo_400x400.jpg
Cincinnati Bengals,https://www.instagram.com/bengals/?hl=en,https://x.com/Bengals,https://pbs.twimg.com/profile_images/1850636736642068480/JoODKvH0_400x400.jpg
Cleveland Browns,https://www.instagram.com/clevelandbrowns/?hl=en,https://x.com/Browns,https://pbs.twimg.com/profile_images/1856000376408838144/72u9yoRK_400x400.jpg
Pittsburg Steelers,https://www.instagram.com/steelers/?hl=en,https://x.com/steelers,https://pbs.twimg.com/profile_images/1848358221066416128/B1hbGpLc_400x400.jpg
Chicago Bears,https://www.instagram.com/chicagobears/?hl=en,https://x.com/ChicagoBears,https://pbs.twimg.com/profile_images/1899834222669373440/3IgY5l4E_400x400.jpg
Detroit Lions,https://www.instagram.com/detroitlionsnfl/?hl=en,https://x.com/Lions,https://pbs.twimg.com/profile_images/1876161789118775297/F4Ov2GGA_400x400.jpg
Green Bay Packers,https://www.instagram.com/packers/?hl=en,https://x.com/packers,https://pbs.twimg.com/profile_images/1871447470930100224/s5c-ukR7_400x400.jpg
Minnesota Vikings,https://www.instagram.com/vikings/?hl=en,https://x.com/Vikings,https://pbs.twimg.com/profile_images/1876656788327526400/sL0c6d_Z_400x400.jpg
Houston Texans,https://www.instagram.com/houstontexans/?hl=en,https://x.com/HoustonTexans,https://pbs.twimg.com/profile_images/1872078678953250816/paIJFGUS_400x400.jpg
Indianapolis Colts,https://www.instagram.com/colts/?hl=en,https://x.com/Colts,https://pbs.twimg.com/profile_images/1861048180265144321/AU5KpTyG_400x400.jpg
Jacksonville Jaguars,https://www.instagram.com/jaguars/?hl=en,https://x.com/Jaguars,https://pbs.twimg.com/profile_images/1888787282678759424/HLtwvYQ1_400x400.jpg
Tennessee Titans,https://www.instagram.com/titans/?hl=en,https://x.com/Titans,https://pbs.twimg.com/profile_images/1876153684259680256/TjcVeB52_400x400.jpg
Atlanta Falcons,https://www.instagram.com/atlantafalcons/?hl=en,https://x.com/AtlantaFalcons,https://pbs.twimg.com/profile_images/1872265686883467264/UMeMhp6B_400x400.jpg
Carolina Panthers,https://www.instagram.com/panthers/?hl=en,https://x.com/Panthers,https://pbs.twimg.com/profile_images/1876241229819588608/_J87ePR8_400x400.jpg
New Orleans Saints,https://www.instagram.com/saints/?hl=en,https://x.com/Saints,https://pbs.twimg.com/profile_images/1889359845570031618/R7NtGYmD_400x400.jpg
Tampa Bay Buccaneers,https://www.instagram.com/buccaneers/?hl=en,https://x.com/Buccaneers,https://pbs.twimg.com/profile_images/1874805385304891392/BlZ2iuid_400x400.jpg
Denver Broncos,https://www.instagram.com/broncos/?hl=en,https://x.com/Broncos,https://pbs.twimg.com/profile_images/1878861496928571392/1RWV6gx7_400x400.jpg
Kansa City Chiefs,https://www.instagram.com/chiefs/?hl=en,https://x.com/Chiefs,https://pbs.twimg.com/profile_images/1886868915193540608/TBqH4HoX_400x400.jpg
Las Vegas Raiders,https://www.instagram.com/raiders/?hl=en,https://x.com/Raiders,https://pbs.twimg.com/profile_images/1846312316486537220/UXydCG21_400x400.jpg
Los Angeles Chargers,https://www.instagram.com/chargers/?hl=en,https://x.com/chargers,https://pbs.twimg.com/profile_images/1889027218149699584/Xr6pFtl__400x400.jpg
Arizona Cardinals,https://www.instagram.com/azcardinals/?hl=en,https://x.com/AZCardinals,https://pbs.twimg.com/profile_images/1723882281352454144/QpG-W7GG_400x400.jpg
Los Angeles Rams,https://www.instagram.com/rams/?hl=en,https://x.com/RamsNFL,https://pbs.twimg.com/profile_images/1611175147880484864/no7msuLO_400x400.jpg
San Francisco 49ers,https://www.instagram.com/49ers/?hl=en,https://x.com/49ers,https://pbs.twimg.com/profile_images/1858564681969082368/Dwuap4OK_400x400.jpg
Seattle Seahawks,https://www.instagram.com/seahawks/?hl=en,https://x.com/Seahawks,https://pbs.twimg.com/profile_images/1897694855574568965/5e6DHIOb_400x400.jpg
