name,instagram,twitter,image_url
Carolina Hurricanes,https://www.instagram.com/canes/?hl=en,https://x.com/Canes,https://pbs.twimg.com/profile_images/1906704558480297984/ErwIxbHh_400x400.png
Columbus Blue Jackets,https://www.instagram.com/bluejacketsnhl/?hl=en,https://x.com/BlueJacketsNHL,https://pbs.twimg.com/profile_images/1829484612487163904/DwOtkHZj_400x400.jpg
New Jersey Devils,https://www.instagram.com/njdevils/?hl=en,https://x.com/NJDevils,https://pbs.twimg.com/profile_images/1904552908441485312/IUyvAXJ4_400x400.jpg
New York Islanders,https://www.instagram.com/nyislanders/?hl=en,https://x.com/NYIslanders,https://pbs.twimg.com/profile_images/1759666041473449984/iR48RbaQ_400x400.jpg
New York Rangers,https://www.instagram.com/nyrangers/?hl=en,https://x.com/NYRangers,https://pbs.twimg.com/profile_images/1843997695188320256/WResRSsG_400x400.jpg
Philadelphia Flyers,https://www.instagram.com/philadelphiaflyers/?hl=en,https://x.com/NHLFlyers,https://pbs.twimg.com/profile_images/1656656640102350850/3fR6ppTb_400x400.jpg
Pittsburgh Penguins,https://www.instagram.com/penguins/?hl=en,https://x.com/penguins,https://pbs.twimg.com/profile_images/1859413442366435328/AXYAbppJ_400x400.jpg
Washinton Capitals,https://www.instagram.com/capitals/?hl=en,https://x.com/Capitals,https://pbs.twimg.com/profile_images/1894384638564409344/um_H-Bgl_400x400.jpg
Boston Bruins,https://www.instagram.com/nhlbruins/?hl=en,https://x.com/NHLBruins,https://pbs.twimg.com/profile_images/1865234397395308544/XN9aFobE_400x400.jpg
Buffalo Sabres,https://www.instagram.com/buffalosabres/?hl=en,https://x.com/BuffaloSabres,https://pbs.twimg.com/profile_images/1900187683403567104/MAKCbIu4_400x400.jpg
Detroit Red Wings,https://www.instagram.com/detroitredwings/?hl=en,https://x.com/DetroitRedWings,https://pbs.twimg.com/profile_images/1897373768588103680/VjySrJzR_400x400.jpg
Florida Panthers,https://www.instagram.com/flapanthers/?hl=en,https://x.com/FlaPanthers,https://pbs.twimg.com/profile_images/1906449651420758016/qN-DkGU0_400x400.jpg
Montreal Canadiens,https://www.instagram.com/canadiensmtl/?hl=en,https://x.com/CanadiensMTL,https://pbs.twimg.com/profile_images/1825547351139758080/WPjS2Wxp_400x400.jpg
Ottawa Senators,https://www.instagram.com/senators/?hl=en,https://x.com/Senators,https://pbs.twimg.com/profile_images/1859273362939187213/cWFh_dV__400x400.png
Tamba Bay Lighting,https://www.instagram.com/tblightning/?hl=en,https://x.com/TBLightning,https://pbs.twimg.com/profile_images/1858571122503213056/LpUANMcX_400x400.jpg
Toronto Maple Leafs,https://www.instagram.com/mapleleafs/?hl=en,https://x.com/MapleLeafs,https://pbs.twimg.com/profile_images/1902071233006727170/aUcC2hiz_400x400.jpg
Chicago Blackhawks,https://www.instagram.com/nhlblackhawks/?hl=en,https://x.com/NHLBlackhawks,https://pbs.twimg.com/profile_images/1874839170713092096/PPRD_eij_400x400.jpg
Colorado Avalanche,https://www.instagram.com/coloradoavalanche/?hl=en,https://x.com/Avalanche,https://pbs.twimg.com/profile_images/1902025077161639936/b3O5EZLJ_400x400.jpg
Dallas Stars,https://www.instagram.com/dallasstars/?hl=en,https://x.com/DallasStars,https://pbs.twimg.com/profile_images/1907134349608202240/_qkvO7ec_400x400.jpg
Minnesota Wild,https://www.instagram.com/minnesotawild/?hl=en,https://x.com/mnwild,https://pbs.twimg.com/profile_images/1906287855611035648/YEaE3qn6_400x400.jpg
Nashville Predators,https://www.instagram.com/predsnhl/?hl=en,https://x.com/PredsNHL,https://pbs.twimg.com/profile_images/1907072622740832258/EQW0OBK1_400x400.jpg
St. Louis Blues,https://www.instagram.com/stlouisblues/?hl=en,https://x.com/StLouisBlues,https://pbs.twimg.com/profile_images/1906919063982350336/4dKbHgdc_400x400.jpg
Utah Hockey Club,https://www.instagram.com/utahhockeyclub/?hl=en,https://x.com/utahhockeyclub,https://pbs.twimg.com/profile_images/1863022339438350336/L2FZYkYK_400x400.jpg
Winnipeg Jets,https://www.instagram.com/nhljets/?hl=en,https://x.com/NHLJets,https://pbs.twimg.com/profile_images/1838582659963867136/8atm_iJ9_400x400.jpg
Anaheim Ducks,https://www.instagram.com/anaheimducks/?hl=en,https://x.com/AnaheimDucks,https://pbs.twimg.com/profile_images/1806009652435693568/TTfB6EZn_400x400.jpg
